sid	slurmid	Cores per node	CPU Utilized	CPU Efficiency	Job Wall-clock time	Memory Utilized
v1_40x_15000_B	6378109	24	06:50:22	70.95% of 09:38:24 core-walltime	00:24:06	61.86 GB
v1_40x_15000_A	6378111	24	07:10:59	70.75% of 10:09:12 core-walltime	00:25:23	42.70 GB
v1_40x_15000_C	6378115	24	07:03:52	70.64% of 10:00:00 core-walltime	00:25:00	54.96 GB
v1_40x_50000_A	6381934	24	10:00:25	77.25% of 12:57:12 core-walltime	00:32:23	32.51 GB
v1_40x_30000_A	6381936	24	07:03:59	59.51% of 11:52:24 core-walltime	00:29:41	33.42 GB
v1_40x_100000_B	6381943	24	07:57:24	68.40% of 11:38:00 core-walltime	00:29:05	43.60 GB
v1_40x_50000_C	6381944	24	07:01:08	55.41% of 12:40:00 core-walltime	00:31:40	32.99 GB
v1_40x_100000_C	6381953	24	07:14:24	44.51% of 16:16:00 core-walltime	00:40:40	31.66 GB
v1_40x_30000_B	6381954	24	06:55:23	52.18% of 13:16:00 core-walltime	00:33:10	32.48 GB
v1_40x_100000_A	6381961	24	07:50:11	66.60% of 11:46:00 core-walltime	00:29:25	34.76 GB
v1_40x_50000_B	6381962	24	06:33:17	54.56% of 12:00:48 core-walltime	00:30:02	52.17 GB
v1_40x_30000_C	6381963	24	07:05:39	67.82% of 10:27:36 core-walltime	00:26:09	33.02 GB
