sid	slurmid	Cores per node	CPU Utilized	CPU Efficiency	Job Wall-clock time	Memory Utilized
v1_40x_50000_A	6257855	52	20-12:26:40	39.74% of 51-15:01:48 core-walltime	23:49:39	125.37 GB
v1_40x_50000_B	6257856	52	30-12:17:56	50.21% of 60-18:27:20 core-walltime	1-04:02:50	143.18 GB
v1_40x_30000_C	6291501	52	29-20:38:46	54.22% of 55-01:49:32 core-walltime	1-01:25:11	169.46 GB
v1_40x_15000_A	6291504	52	30-02:29:26	55.63% of 54-02:38:32 core-walltime	1-00:58:26	148.05 GB
v1_40x_15000_B	6291505	52	19-00:50:54	43.70% of 43-13:20:40 core-walltime	20:06:10	193.46 GB
v1_40x_100000_B	6291506	52	33-14:40:54	48.02% of 69-23:42:56 core-walltime	1-08:18:08	201.91 GB
v1_40x_50000_C	6291509	52	31-08:44:10	51.07% of 61-10:00:44 core-walltime	1-04:20:47	174.81 GB
v1_40x_100000_A	6291512	52	35-20:34:52	49.68% of 72-04:17:36 core-walltime	1-09:18:48	139.95 GB
v1_40x_30000_B	6291513	52	28-22:02:23	53.74% of 53-19:26:56 core-walltime	1-00:50:08	179.62 GB
v1_40x_15000_C	6291514	52	29-07:05:31	55.10% of 53-03:55:16 core-walltime	1-00:32:13	241.40 GB
v1_40x_100000_C	6291515	52	34-23:31:34	48.38% of 72-07:10:04 core-walltime	1-09:22:07	136.56 GB
v1_40x_30000_A	6291516	52	29-14:54:23	53.91% of 54-22:44:56 core-walltime	1-01:21:38	163.03 GB
